# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
 219000    6.75e-01  5.74e-01    2.66e-03  1.18e-03    7.43e-02  6.33e-02    8.1e-05
 220000    5.46e-01  6.01e-01    5.81e-03  5.48e-03    5.98e-02  6.61e-02    7.9e-05
 221000    7.05e-01  8.06e-01    5.01e-04  1.84e-04    7.86e-02  9.00e-02    7.9e-05
 222000    5.43e-01  3.53e-01    1.13e-03  1.99e-03    6.12e-02  3.97e-02    7.8e-05
 223000    5.86e-01  5.59e-01    6.43e-03  7.86e-03    6.52e-02  6.16e-02    7.8e-05
 224000    5.56e-01  4.91e-01    1.46e-03  1.74e-03    6.34e-02  5.59e-02    7.6e-05
 225000    3.90e-01  5.84e-01    3.28e-03  2.54e-03    4.42e-02  6.65e-02    7.6e-05
 226000    5.86e-01  4.01e-01    4.22e-04  2.17e-04    6.77e-02  4.63e-02    7.4e-05
 227000    5.44e-01  5.60e-01    1.94e-03  2.11e-04    6.27e-02  6.47e-02    7.4e-05
 228000    5.05e-01  5.77e-01    2.56e-03  4.25e-03    5.87e-02  6.68e-02    7.2e-05
 229000    4.75e-01  5.71e-01    1.62e-03  3.94e-03    5.54e-02  6.62e-02    7.2e-05
 230000    3.54e-01  3.10e-01    1.07e-03  8.50e-04    4.17e-02  3.66e-02    7.1e-05
 231000    4.67e-01  4.81e-01    1.80e-04  3.41e-04    5.52e-02  5.67e-02    7.1e-05
 232000    6.20e-01  5.14e-01    9.55e-04  9.41e-05    7.41e-02  6.14e-02    6.9e-05
 233000    3.75e-01  4.84e-01    4.72e-03  5.51e-03    4.39e-02  5.69e-02    6.9e-05
 234000    5.04e-01  6.47e-01    1.45e-04  1.68e-03    6.09e-02  7.80e-02    6.8e-05
 235000    4.99e-01  4.65e-01    3.39e-03  3.10e-03    5.99e-02  5.58e-02    6.8e-05
 236000    4.38e-01  4.88e-01    8.92e-05  1.57e-03    5.36e-02  5.96e-02    6.6e-05
 237000    5.52e-01  6.52e-01    6.07e-04  1.14e-03    6.75e-02  7.96e-02    6.6e-05
 238000    6.12e-01  6.74e-01    3.01e-03  3.65e-03    7.53e-02  8.29e-02    6.5e-05
 239000    4.58e-01  3.40e-01    5.43e-03  5.18e-03    5.53e-02  4.05e-02    6.5e-05
 240000    5.82e-01  4.47e-01    2.95e-03  4.09e-03    7.24e-02  5.52e-02    6.3e-05
 241000    4.92e-01  5.82e-01    5.25e-03  4.45e-03    6.05e-02  7.21e-02    6.3e-05
 242000    4.19e-01  3.87e-01    9.81e-04  1.26e-03    5.29e-02  4.89e-02    6.2e-05
 243000    3.85e-01  4.19e-01    3.78e-03  4.86e-03    4.81e-02  5.20e-02    6.2e-05
 244000    3.93e-01  4.30e-01    4.03e-03  3.49e-03    4.95e-02  5.45e-02    6.0e-05
 245000    4.38e-01  4.84e-01    1.94e-03  2.34e-03    5.58e-02  6.16e-02    6.0e-05
 246000    4.52e-01  3.96e-01    7.03e-03  5.78e-03    5.67e-02  4.99e-02    5.9e-05
 247000    3.23e-01  3.96e-01    9.45e-04  1.13e-03    4.17e-02  5.11e-02    5.9e-05
 248000    3.49e-01  3.59e-01    1.67e-03  3.60e-03    4.55e-02  4.63e-02    5.8e-05
 249000    4.37e-01  4.69e-01    2.03e-03  2.56e-03    5.70e-02  6.11e-02    5.8e-05
 250000    4.09e-01  4.35e-01    8.27e-04  3.46e-04    5.41e-02  5.76e-02    5.6e-05
 251000    3.98e-01  5.01e-01    2.00e-03  8.43e-05    5.25e-02  6.63e-02    5.6e-05
 252000    3.75e-01  4.68e-01    1.02e-03  1.45e-03    5.01e-02  6.25e-02    5.5e-05
 253000    4.39e-01  4.36e-01    3.91e-03  5.23e-03    5.81e-02  5.72e-02    5.5e-05
 254000    3.84e-01  4.22e-01    4.98e-03  4.05e-03    5.08e-02  5.64e-02    5.4e-05
 255000    4.14e-01  2.84e-01    3.97e-04  9.53e-04    5.60e-02  3.83e-02    5.4e-05
 256000    5.24e-01  3.06e-01    8.41e-04  5.02e-04    7.17e-02  4.18e-02    5.2e-05
